9,c-NIGER-1,OGUN-3,2018-04-01 00:40:53,0001-01-01 00:00:00,0.00
9,c-NIGER-1,OGUN-3,2018-04-01 00:40:53,2018-04-01 00:46:59,29128.20
0,c-NIGER-0,BENUE-4,2018-04-01 13:46:12,0001-01-01 00:00:00,0.00
0,c-NIGER-0,BENUE-4,2018-04-01 13:46:12,2018-04-01 13:54:06,56202.66
1,c-NIGER-0,OGUN-0,2018-04-01 16:05:10,0001-01-01 00:00:00,0.00
1,c-NIGER-0,OGUN-0,2018-04-01 16:05:10,2018-04-01 16:11:41,37940.13
10,c-NIGER-1,OGUN-3,2018-04-02 13:10:26,0001-01-01 00:00:00,0.00
10,c-NIGER-1,OGUN-3,2018-04-02 13:10:26,2018-04-02 13:15:34,15916.03
14,c-NIGER-1,NIGER-0,2018-04-02 14:54:16,0001-01-01 00:00:00,0.00
14,c-NIGER-1,NIGER-0,2018-04-02 14:54:16,2018-04-02 14:54:21,31832.06
2,c-NIGER-0,OGUN-0,2018-04-02 22:24:23,0001-01-01 00:00:00,0.00
2,c-NIGER-0,OGUN-0,2018-04-02 22:24:23,2018-04-02 22:27:54,61741.12
16,c-BENUE-1,OGUN-3,2018-04-03 10:29:39,0001-01-01 00:00:00,0.00
16,c-BENUE-1,OGUN-3,2018-04-03 10:29:39,2018-04-03 10:32:18,18849.44
3,c-NIGER-0,OGUN-0,2018-04-04 05:10:33,0001-01-01 00:00:00,0.00
3,c-NIGER-0,OGUN-0,2018-04-04 05:10:33,2018-04-04 05:15:29,23634.22
8,c-NIGER-0,OGUN-1,2018-04-04 05:51:33,0001-01-01 00:00:00,0.00
8,c-NIGER-0,OGUN-1,2018-04-04 05:51:33,2018-04-04 05:51:38,47268.44
11,c-NIGER-1,OGUN-1,2018-04-04 08:05:58,0001-01-01 00:00:00,0.00
11,c-NIGER-1,OGUN-1,2018-04-04 08:05:58,2018-04-04 08:12:09,49895.75
12,c-NIGER-1,OGUN-1,2018-04-04 13:53:31,0001-01-01 00:00:00,0.00
12,c-NIGER-1,OGUN-1,2018-04-04 13:53:31,2018-04-04 14:00:26,27506.02
15,c-NIGER-1,NIGER-1,2018-04-04 14:01:18,0001-01-01 00:00:00,0.00
15,c-NIGER-1,NIGER-1,2018-04-04 14:01:18,2018-04-04 14:01:23,55012.04
20,c-NIGER-1,OGUN-1,2018-04-04 14:05:00,0001-01-01 00:00:00,0.00
20,c-NIGER-1,OGUN-1,2018-04-04 14:05:00,2018-04-04 14:07:00,12000.00
4,c-NIGER-0,OGUN-0,2018-04-04 17:02:41,0001-01-01 00:00:00,0.00
4,c-NIGER-0,OGUN-0,2018-04-04 17:02:41,2018-04-04 17:11:46,34197.03
6,c-NIGER-0,OGUN-1,2018-04-04 17:42:22,0001-01-01 00:00:00,0.00
6,c-NIGER-0,OGUN-1,2018-04-04 17:42:22,2018-04-04 17:42:27,68394.06
5,c-NIGER-0,OGUN-0,2018-04-04 20:02:50,0001-01-01 00:00:00,0.00
5,c-NIGER-0,OGUN-0,2018-04-04 20:02:50,2018-04-04 20:06:24,36939.34
7,c-NIGER-0,BENUE-1,2018-04-04 20:20:41,0001-01-01 00:00:00,0.00
7,c-NIGER-0,BENUE-1,2018-04-04 20:20:41,2018-04-04 20:20:46,73878.68
13,c-NIGER-1,OGUN-3,2018-04-04 22:40:31,0001-01-01 00:00:00,0.00
13,c-NIGER-1,OGUN-3,2018-04-04 22:40:31,2018-04-04 22:46:06,37668.02
17,c-BENUE-1,OGUN-1,2018-04-05 08:37:50,0001-01-01 00:00:00,0.00
17,c-BENUE-1,OGUN-1,2018-04-05 08:37:50,2018-04-05 08:44:42,68787.88
18,c-BENUE-1,BENUE-2,2018-04-05 08:51:08,0001-01-01 00:00:00,0.00
18,c-BENUE-1,BENUE-2,2018-04-05 08:51:08,2018-04-05 08:51:13,137575.77
19,c-OGUN-0,OGUN-0,2018-04-05 18:59:34,0001-01-01 00:00:00,0.00
19,c-OGUN-0,OGUN-0,2018-04-05 18:59:34,2018-04-05 19:06:50,27028.60
