transaction_id,number_id,ATM_id,transaction_type,transaction_start,transaction_end,transaction_amount
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,,
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:57:05,0.0
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:05,,
10,c-NIGER-2,NIGER-5,2,2018-04-01 03:57:05,2018-04-01 03:57:05,0.0
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:06,,
29,c-NIGER-7,NIGER-3,0,2018-04-01 03:57:06,2018-04-01 03:57:06,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:07,,
24,c-NIGER-6,NIGER-4,1,2018-04-01 03:57:07,2018-04-01 03:57:07,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:12,,
43,c-NIGER-11,EXT-0,1,2018-04-01 03:57:12,2018-04-01 03:57:12,7654.3
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:13,,
7,c-NIGER-1,EXT-2,3,2018-04-01 03:57:13,2018-04-01 03:57:14,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:14,,
15,c-NIGER-3,NIGER-5,0,2018-04-01 03:57:14,2018-04-01 03:57:14,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:18,,
25,c-NIGER-6,NIGER-6,0,2018-04-01 03:57:18,2018-04-01 03:57:18,28546.6
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:22,,
18,c-NIGER-4,NIGER-9,3,2018-04-01 03:57:22,2018-04-01 03:57:22,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:25,,
0,c-NIGER-0,NIGER-7,0,2018-04-01 03:57:25,2018-04-01 03:57:25,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-01 03:57:42,,
44,c-NIGER-11,EXT-0,0,2018-04-01 03:57:42,2018-04-01 03:57:42,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:57:42,,
11,c-NIGER-2,NIGER-3,0,2018-04-01 03:57:42,2018-04-01 03:57:42,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:57:44,,
16,c-NIGER-3,NIGER-1,0,2018-04-01 03:57:44,2018-04-01 03:57:44,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:57:45,,
33,c-NIGER-8,NIGER-1,3,2018-04-01 03:57:45,2018-04-01 03:57:45,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:57:48,,
34,c-NIGER-8,NIGER-3,1,2018-04-01 03:57:48,2018-04-01 03:57:48,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:57:49,,
45,c-NIGER-11,NIGER-8,0,2018-04-01 03:57:49,2018-04-01 03:57:49,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:57:51,,
30,c-NIGER-7,NIGER-1,3,2018-04-01 03:57:51,2018-04-01 03:57:51,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-01 03:57:53,,
39,c-NIGER-10,EXT-1,0,2018-04-01 03:57:53,2018-04-01 03:57:53,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:58:01,,
17,c-NIGER-3,NIGER-5,0,2018-04-01 03:58:01,2018-04-01 03:58:01,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:58:04,,
40,c-NIGER-10,NIGER-1,0,2018-04-01 03:58:04,2018-04-01 03:58:04,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:58:09,,
8,c-NIGER-1,NIGER-8,0,2018-04-01 03:58:09,2018-04-01 03:58:09,33963.87
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:58:14,,
12,c-NIGER-2,NIGER-5,0,2018-04-01 03:58:14,2018-04-01 03:58:14,33252.26
31,c-NIGER-7,EXT-3,0,2018-04-01 03:58:17,,
31,c-NIGER-7,EXT-3,0,2018-04-01 03:58:17,2018-04-01 03:58:17,15784.28
1,c-NIGER-0,NIGER-4,3,2018-04-01 03:58:18,,
1,c-NIGER-0,NIGER-4,3,2018-04-01 03:58:18,2018-04-01 03:58:18,31720.04
26,c-NIGER-6,NIGER-4,2,2018-04-01 03:58:25,,
26,c-NIGER-6,NIGER-4,2,2018-04-01 03:58:25,2018-04-01 03:58:25,0.0
19,c-NIGER-4,NIGER-9,0,2018-04-01 03:58:26,,
13,c-NIGER-2,NIGER-1,1,2018-04-01 03:58:26,,
19,c-NIGER-4,NIGER-9,0,2018-04-01 03:58:26,2018-04-01 03:58:26,32525.77
