test,approach,answer,time,responseTime,isPositive
30-0.02-8c,8c-200f,1,0.01,280036.00,0
30-0.02-8c,8c-200f,2,0.01,1876519.00,0
30-0.02-8c,8c-200f,3,0.01,7768468.00,0
30-0.02-8c,8c-200f,4,0.01,1325079.00,0
30-0.02-8c,8c-200f,5,0.02,7396715.00,0
30-0.02-8c,8c-200f,6,0.02,13219309.00,0
30-0.02-8c,8c-200f,7,0.02,10000270.00,0
30-0.02-8c,8c-200f,8,0.02,11937600.00,0
30-0.02-8c,8c-200f,9,0.02,12710486.00,0
30-0.02-8c,8c-200f,10,0.02,13667984.00,1
30-0.02-8c,8c-200f,11,0.02,17075172.00,0
30-0.02-8c,8c-200f,12,0.02,16344250.00,0
30-0.02-8c,8c-200f,13,0.02,15979622.00,1
30-0.02-8c,8c-200f,14,0.02,8937197.00,0
30-0.02-8c,8c-200f,15,0.02,12116654.00,0
30-0.02-8c,8c-200f,16,0.02,19377616.00,0
30-0.02-8c,8c-200f,17,0.02,18830887.00,0
30-0.02-8c,8c-200f,18,0.02,16892568.00,0
30-0.02-8c,8c-200f,19,0.02,17647281.00,0
30-0.02-8c,8c-200f,20,0.02,12716825.00,0
30-0.02-8c,8c-200f,21,0.02,20700835.00,1
30-0.02-8c,8c-200f,22,0.03,22763299.00,0
30-0.02-8c,8c-200f,23,0.03,17202357.00,0
30-0.02-8c,8c-200f,24,0.03,8474189.00,0
30-0.02-8c,8c-200f,25,0.03,22031747.00,0
30-0.02-8c,8c-200f,26,0.03,17103214.00,0
30-0.02-8c,8c-200f,27,0.03,21246011.00,0
30-0.02-8c,8c-200f,28,0.03,18065162.00,0
30-0.02-8c,8c-200f,29,0.03,15729440.00,0
30-0.02-8c,8c-200f,30,0.03,25627961.00,0
30-0.02-8c,8c-200f,31,0.03,24845333.00,0
30-0.02-8c,8c-200f,32,0.03,20439104.00,0
30-0.02-8c,8c-200f,33,0.03,18030139.00,0
30-0.02-8c,8c-200f,34,0.03,23016696.00,0
30-0.02-8c,8c-200f,35,0.03,28659359.00,0
