test,approach,answer,time,responseTime
30-0.02-8c,8c-20f,1,0.02,6756305.00
30-0.02-8c,8c-20f,2,0.02,15036488.00
30-0.02-8c,8c-20f,3,0.02,6642311.00
30-0.02-8c,8c-20f,4,0.03,20294557.00
30-0.02-8c,8c-20f,5,0.04,15980095.00
30-0.02-8c,8c-20f,6,0.04,32077994.00
30-0.02-8c,8c-20f,7,0.04,24424669.00
30-0.02-8c,8c-20f,8,0.05,26782021.00
30-0.02-8c,8c-20f,9,0.05,24516201.00
30-0.02-8c,8c-20f,10,0.06,46530242.00
30-0.02-8c,8c-20f,11,0.06,52965392.00
30-0.02-8c,8c-20f,12,0.07,39092854.00
30-0.02-8c,8c-20f,13,0.07,37464737.00
30-0.02-8c,8c-20f,14,0.07,31470488.00
30-0.02-8c,8c-20f,15,0.08,48104237.00
30-0.02-8c,8c-20f,16,0.16,139549839.00
30-0.02-8c,8c-20f,17,0.39,347886946.00
30-0.02-8c,8c-20f,18,0.39,353807518.00
30-0.02-8c,8c-20f,19,0.49,462597770.00
30-0.02-8c,8c-20f,20,0.56,531966197.00
30-0.02-8c,8c-20f,21,0.57,538969260.00
30-0.02-8c,8c-20f,22,0.58,554405742.00
30-0.02-8c,8c-20f,23,0.67,595076367.00
30-0.02-8c,8c-20f,24,0.75,696720548.00
30-0.02-8c,8c-20f,25,0.76,707291404.00
30-0.02-8c,8c-20f,26,0.79,731728378.00
30-0.02-8c,8c-20f,27,0.80,733164488.00
30-0.02-8c,8c-20f,28,0.82,766289447.00
30-0.02-8c,8c-20f,29,0.82,768650130.00
30-0.02-8c,8c-20f,30,0.87,832504903.00
30-0.02-8c,8c-20f,31,0.89,853053949.00
30-0.02-8c,8c-20f,32,0.93,892756577.00
30-0.02-8c,8c-20f,33,0.95,907796300.00
30-0.02-8c,8c-20f,34,0.95,900145120.00
30-0.02-8c,8c-20f,35,0.96,916704831.00
30-0.02-8c,8c-20f,36,0.98,938933820.00
30-0.02-8c,8c-20f,37,0.98,940808531.00
30-0.02-8c,8c-20f,38,1.00,948509097.00
30-0.02-8c,8c-20f,39,1.00,958345984.00
30-0.02-8c,8c-20f,40,1.03,958579153.00
30-0.02-8c,8c-20f,41,1.10,1014531979.00
30-0.02-8c,8c-20f,42,1.22,1171483049.00
30-0.02-8c,8c-20f,43,1.23,1187931918.00
30-0.02-8c,8c-20f,44,1.24,1182351298.00
30-0.02-8c,8c-20f,45,1.28,1229849944.00
30-0.02-8c,8c-20f,46,1.30,1207077899.00
30-0.02-8c,8c-20f,47,1.34,1286835118.00
30-0.02-8c,8c-20f,48,1.50,1342957383.00
30-0.02-8c,8c-20f,49,1.54,1479361613.00
30-0.02-8c,8c-20f,50,1.58,1482452421.00
30-0.02-8c,8c-20f,51,1.68,1595447667.00
30-0.02-8c,8c-20f,52,1.72,1610584776.00
30-0.02-8c,8c-20f,53,1.82,1755581990.00
30-0.02-8c,8c-20f,54,1.85,1786632240.00
30-0.02-8c,8c-20f,55,1.89,1795213633.00
30-0.02-8c,8c-20f,56,1.91,1816653225.00
30-0.02-8c,8c-20f,57,2.04,1944726248.00
30-0.02-8c,8c-20f,58,2.05,1974262825.00
30-0.02-8c,8c-20f,59,2.10,2027265117.00
30-0.02-8c,8c-20f,60,2.13,2033405946.00
30-0.02-8c,8c-20f,61,2.14,2046369323.00
30-0.02-8c,8c-20f,62,2.19,2087193851.00
30-0.02-8c,8c-20f,63,2.19,2119038141.00
30-0.02-8c,8c-20f,64,2.21,2114674484.00
30-0.02-8c,8c-20f,65,2.32,2225629330.00
30-0.02-8c,8c-20f,66,2.33,2258207620.00
30-0.02-8c,8c-20f,67,2.34,2205847243.00
30-0.02-8c,8c-20f,68,2.43,2353124692.00
30-0.02-8c,8c-20f,69,2.47,2388994079.00
30-0.02-8c,8c-20f,70,2.54,2400962103.00
30-0.02-8c,8c-20f,71,2.55,2444608948.00
30-0.02-8c,8c-20f,72,2.55,2453963852.00
30-0.02-8c,8c-20f,73,2.64,2553429508.00
30-0.02-8c,8c-20f,74,2.70,2632423176.00
30-0.02-8c,8c-20f,75,2.71,2632608930.00
30-0.02-8c,8c-20f,76,2.72,2629413126.00
30-0.02-8c,8c-20f,77,2.75,2620871972.00
30-0.02-8c,8c-20f,78,2.77,2690891389.00
30-0.02-8c,8c-20f,79,2.94,2849860692.00
30-0.02-8c,8c-20f,80,2.96,2855073813.00
30-0.02-8c,8c-20f,81,3.10,3006789681.00
30-0.02-8c,8c-20f,82,3.13,2895518408.00
30-0.02-8c,8c-20f,83,3.19,3059176753.00
30-0.02-8c,8c-20f,84,3.24,3105324994.00
30-0.02-8c,8c-20f,85,3.35,3224794503.00
30-0.02-8c,8c-20f,86,3.35,3175861188.00
30-0.02-8c,8c-20f,87,3.42,3244483042.00
30-0.02-8c,8c-20f,88,3.45,3323911252.00
30-0.02-8c,8c-20f,89,3.49,3385376609.00
30-0.02-8c,8c-20f,90,3.55,3407632385.00
30-0.02-8c,8c-20f,91,3.56,3383151984.00
30-0.02-8c,8c-20f,92,3.57,3312679957.00
30-0.02-8c,8c-20f,93,3.78,3624229985.00
30-0.02-8c,8c-20f,94,3.79,3636460030.00
30-0.02-8c,8c-20f,95,3.94,3810808725.00
30-0.02-8c,8c-20f,96,3.98,3772361399.00
30-0.02-8c,8c-20f,97,4.16,4004058797.00
30-0.02-8c,8c-20f,98,4.17,4029028668.00
30-0.02-8c,8c-20f,99,4.20,4045873480.00
30-0.02-8c,8c-20f,100,4.34,4128148371.00
30-0.02-8c,8c-20f,101,4.38,4207078817.00
30-0.02-8c,8c-20f,102,4.41,4310284309.00
30-0.02-8c,8c-20f,103,4.45,4343054369.00
30-0.02-8c,8c-20f,104,4.59,4448516389.00
30-0.02-8c,8c-20f,105,4.60,4449268480.00
30-0.02-8c,8c-20f,106,4.65,4471304471.00
30-0.02-8c,8c-20f,107,4.67,4425241705.00
30-0.02-8c,8c-20f,108,4.74,4364090010.00
30-0.02-8c,8c-20f,109,4.75,4574169494.00
30-0.02-8c,8c-20f,110,4.78,4550758544.00
30-0.02-8c,8c-20f,111,4.81,4656622124.00
30-0.02-8c,8c-20f,112,4.83,4702764589.00
30-0.02-8c,8c-20f,113,4.94,4701499597.00
30-0.02-8c,8c-20f,114,4.97,4818423423.00
30-0.02-8c,8c-20f,115,4.98,4825211152.00
30-0.02-8c,8c-20f,116,5.01,4851138534.00
30-0.02-8c,8c-20f,117,5.03,4843143165.00
30-0.02-8c,8c-20f,118,5.04,4882171005.00
30-0.02-8c,8c-20f,119,5.05,4793409357.00
30-0.02-8c,8c-20f,120,5.09,4839721369.00
30-0.02-8c,8c-20f,121,5.20,4939947961.00
30-0.02-8c,8c-20f,122,5.21,5017895847.00
30-0.02-8c,8c-20f,123,5.24,5051443404.00
30-0.02-8c,8c-20f,124,5.24,5043923693.00
30-0.02-8c,8c-20f,125,5.30,5133541971.00
30-0.02-8c,8c-20f,126,5.46,5293824353.00
30-0.02-8c,8c-20f,127,5.64,5474948364.00
30-0.02-8c,8c-20f,128,5.67,5526921494.00
30-0.02-8c,8c-20f,129,5.68,5414047341.00
30-0.02-8c,8c-20f,130,5.70,5500913863.00
30-0.02-8c,8c-20f,131,5.76,5578888440.00
30-0.02-8c,8c-20f,132,5.83,5687203185.00
30-0.02-8c,8c-20f,133,5.88,5613917971.00
30-0.02-8c,8c-20f,134,5.92,5773008338.00
30-0.02-8c,8c-20f,135,5.94,5739191440.00
30-0.02-8c,8c-20f,136,5.95,5731366944.00
30-0.02-8c,8c-20f,137,6.00,5722766387.00
30-0.02-8c,8c-20f,138,6.01,5736094271.00
30-0.02-8c,8c-20f,139,6.02,5828495076.00
30-0.02-8c,8c-20f,140,6.09,5813157482.00
30-0.02-8c,8c-20f,141,6.17,5981514281.00
30-0.02-8c,8c-20f,142,6.22,6029710588.00
30-0.02-8c,8c-20f,143,6.23,6034778290.00
30-0.02-8c,8c-20f,144,6.23,6035598813.00
30-0.02-8c,8c-20f,145,6.23,6043056857.00
30-0.02-8c,8c-20f,146,6.36,6164599598.00
30-0.02-8c,8c-20f,147,6.50,6303275191.00
30-0.02-8c,8c-20f,148,6.54,6345544963.00
30-0.02-8c,8c-20f,149,6.54,6381189180.00
30-0.02-8c,8c-20f,150,6.73,6492359238.00
30-0.02-8c,8c-20f,151,6.75,6458483657.00
30-0.02-8c,8c-20f,152,6.82,6611447960.00
30-0.02-8c,8c-20f,153,6.86,6647785756.00
30-0.02-8c,8c-20f,154,6.89,6576980415.00
30-0.02-8c,8c-20f,155,6.89,6640899669.00
30-0.02-8c,8c-20f,156,6.92,6604877797.00
30-0.02-8c,8c-20f,157,6.93,6719881064.00
30-0.02-8c,8c-20f,158,6.95,6702101272.00
30-0.02-8c,8c-20f,159,6.99,6772338913.00
30-0.02-8c,8c-20f,160,7.00,6799173939.00
30-0.02-8c,8c-20f,161,7.10,6851062382.00
30-0.02-8c,8c-20f,162,7.19,6965433544.00
30-0.02-8c,8c-20f,163,7.25,6938516191.00
30-0.02-8c,8c-20f,164,7.30,7071047270.00
30-0.02-8c,8c-20f,165,7.34,7069948009.00
30-0.02-8c,8c-20f,166,7.40,7130163578.00
30-0.02-8c,8c-20f,167,7.49,7221093972.00
30-0.02-8c,8c-20f,168,7.50,7224473470.00
30-0.02-8c,8c-20f,169,7.54,7271222434.00
30-0.02-8c,8c-20f,170,7.57,7303799079.00
30-0.02-8c,8c-20f,171,7.60,7318097550.00
30-0.02-8c,8c-20f,172,7.62,7434774496.00
30-0.02-8c,8c-20f,173,7.63,7213924865.00
30-0.02-8c,8c-20f,174,7.67,7434209482.00
30-0.02-8c,8c-20f,175,7.71,7363401054.00
30-0.02-8c,8c-20f,176,7.73,7490301703.00
30-0.02-8c,8c-20f,177,7.74,7394317269.00
30-0.02-8c,8c-20f,178,7.80,7529289024.00
30-0.02-8c,8c-20f,179,7.81,7577683860.00
30-0.02-8c,8c-20f,180,7.88,7596819039.00
30-0.02-8c,8c-20f,181,7.89,7619558433.00
30-0.02-8c,8c-20f,182,7.90,7649781242.00
30-0.02-8c,8c-20f,183,7.97,7625992062.00
30-0.02-8c,8c-20f,184,7.99,7756888324.00
30-0.02-8c,8c-20f,185,8.01,7767353306.00
30-0.02-8c,8c-20f,186,8.02,7737773915.00
30-0.02-8c,8c-20f,187,8.08,7801124927.00
30-0.02-8c,8c-20f,188,8.11,7909835415.00
30-0.02-8c,8c-20f,189,8.13,7878404472.00
30-0.02-8c,8c-20f,190,8.19,7929312579.00
30-0.02-8c,8c-20f,191,8.21,7950447409.00
30-0.02-8c,8c-20f,192,8.21,7960121773.00
30-0.02-8c,8c-20f,193,8.25,7989065981.00
30-0.02-8c,8c-20f,194,8.25,7973370871.00
30-0.02-8c,8c-20f,195,8.29,8013627373.00
