42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,0001-01-01 00:00:00,0.00
42,c-NIGER-11,EXT-2,2,2018-04-01 03:57:05,2018-04-01 03:58:29,0.00
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:45:22,0001-01-01 00:00:00,0.00
10,c-NIGER-2,NIGER-5,2,2018-04-01 04:45:22,2018-04-01 04:49:37,0.00
29,c-NIGER-7,NIGER-3,0,2018-04-01 05:39:23,0001-01-01 00:00:00,0.00
29,c-NIGER-7,NIGER-3,0,2018-04-01 05:39:23,2018-04-01 05:46:40,46953.33
24,c-NIGER-6,NIGER-4,1,2018-04-01 06:10:30,0001-01-01 00:00:00,0.00
24,c-NIGER-6,NIGER-4,1,2018-04-01 06:10:30,2018-04-01 06:18:07,19275.44
43,c-NIGER-11,EXT-0,1,2018-04-01 10:54:38,0001-01-01 00:00:00,0.00
43,c-NIGER-11,EXT-0,1,2018-04-01 10:54:38,2018-04-01 11:03:16,7654.30
7,c-NIGER-1,EXT-2,3,2018-04-01 12:38:09,0001-01-01 00:00:00,0.00
7,c-NIGER-1,EXT-2,3,2018-04-01 12:38:09,2018-04-01 12:43:39,40028.33
15,c-NIGER-3,NIGER-5,0,2018-04-01 12:56:54,0001-01-01 00:00:00,0.00
15,c-NIGER-3,NIGER-5,0,2018-04-01 12:56:54,2018-04-01 13:00:48,41987.59
25,c-NIGER-6,NIGER-6,0,2018-04-01 17:14:08,0001-01-01 00:00:00,0.00
25,c-NIGER-6,NIGER-6,0,2018-04-01 17:14:08,2018-04-01 17:20:14,28546.60
18,c-NIGER-4,NIGER-9,3,2018-04-01 20:45:06,0001-01-01 00:00:00,0.00
18,c-NIGER-4,NIGER-9,3,2018-04-01 20:45:06,2018-04-01 20:51:57,24793.64
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,0001-01-01 00:00:00,0.00
0,c-NIGER-0,NIGER-7,0,2018-04-01 23:36:59,2018-04-01 23:44:52,7826.58
44,c-NIGER-11,EXT-0,0,2018-04-02 16:02:28,0001-01-01 00:00:00,0.00
44,c-NIGER-11,EXT-0,0,2018-04-02 16:02:28,2018-04-02 16:06:56,31158.52
11,c-NIGER-2,NIGER-3,0,2018-04-02 16:19:25,0001-01-01 00:00:00,0.00
11,c-NIGER-2,NIGER-3,0,2018-04-02 16:19:25,2018-04-02 16:25:06,50789.21
16,c-NIGER-3,NIGER-1,0,2018-04-02 18:34:38,0001-01-01 00:00:00,0.00
16,c-NIGER-3,NIGER-1,0,2018-04-02 18:34:38,2018-04-02 18:42:04,69755.93
33,c-NIGER-8,NIGER-1,3,2018-04-02 18:59:37,0001-01-01 00:00:00,0.00
33,c-NIGER-8,NIGER-1,3,2018-04-02 18:59:37,2018-04-02 19:03:01,38921.18
34,c-NIGER-8,NIGER-3,1,2018-04-02 22:09:00,0001-01-01 00:00:00,0.00
34,c-NIGER-8,NIGER-3,1,2018-04-02 22:09:00,2018-04-02 22:12:36,1998.01
45,c-NIGER-11,NIGER-8,0,2018-04-02 22:57:51,0001-01-01 00:00:00,0.00
45,c-NIGER-11,NIGER-8,0,2018-04-02 22:57:51,2018-04-02 22:59:14,35441.71
30,c-NIGER-7,NIGER-1,3,2018-04-03 01:06:18,0001-01-01 00:00:00,0.00
30,c-NIGER-7,NIGER-1,3,2018-04-03 01:06:18,2018-04-03 01:14:34,15293.52
39,c-NIGER-10,EXT-1,0,2018-04-03 03:00:26,0001-01-01 00:00:00,0.00
39,c-NIGER-10,EXT-1,0,2018-04-03 03:00:26,2018-04-03 03:02:29,53015.58
17,c-NIGER-3,NIGER-5,0,2018-04-03 10:31:14,0001-01-01 00:00:00,0.00
17,c-NIGER-3,NIGER-5,0,2018-04-03 10:31:14,2018-04-03 10:36:09,71686.34
40,c-NIGER-10,NIGER-1,0,2018-04-03 14:05:24,0001-01-01 00:00:00,0.00
40,c-NIGER-10,NIGER-1,0,2018-04-03 14:05:24,2018-04-03 14:07:36,4905.32
8,c-NIGER-1,NIGER-8,0,2018-04-03 18:39:56,0001-01-01 00:00:00,0.00
